ProductionID,DateKey,TrainID,ProductID,GasReceived,LNGProduced,LPGProduced,CondensateProduced,Availability,Utilization,EnergyConsumption,OperatingCost
73,20190113,1,1,9698.6,7628.2,889.9,305.7,100.0,92.81,555.96,336040.39
74,20190113,2,1,9698.6,7630.7,877.9,385.2,100.0,92.84,539.61,110571.16
75,20190113,3,1,8532.9,6286.8,547.0,286.5,87.98,86.94,483.61,74679.7
76,20190113,4,1,12079.1,9115.6,868.2,368.3,91.13,89.05,735.49,109680.59
77,20190113,5,1,12593.4,9419.4,838.5,467.9,95.01,88.26,558.27,116812.22
78,20190113,6,1,12930.1,10150.1,981.1,395.7,97.55,92.63,667.87,93359.8
79,20190114,1,1,9392.2,7280.5,738.4,343.6,96.84,91.47,390.21,96942.61
80,20190114,2,1,9221.5,6722.3,557.4,332.8,95.08,86.02,531.41,139456.39
81,20190114,3,1,9236.0,6979.4,812.1,223.8,95.23,89.17,422.09,230933.94
82,20190114,4,1,13254.8,11126.2,1297.1,449.5,100.0,99.05,810.04,109315.91
83,20190114,5,1,12138.7,9006.3,954.2,317.7,91.58,87.55,616.52,196256.79
84,20190114,6,1,12716.6,10301.6,1121.8,448.0,95.94,95.59,630.83,89210.06
85,20190115,1,1,9698.6,8128.8,655.6,301.3,100.0,98.9,557.87,148665.47
86,20190115,2,1,9238.9,6888.5,614.5,290.1,95.26,87.98,437.66,221888.78
87,20190115,3,1,8675.4,6304.4,686.8,301.8,89.45,85.75,466.95,153554.73
88,20190115,4,1,13094.4,10050.5,1023.8,310.1,98.79,90.57,873.15,132899.15
89,20190115,5,1,13200.4,10091.6,809.9,300.3,99.59,90.21,777.78,84156.11
90,20190115,6,1,12767.0,9455.2,997.6,493.8,96.32,87.39,860.27,124591.74
91,20190116,1,1,9637.5,7826.0,715.8,289.6,99.37,95.82,587.27,54448.87
92,20190116,2,1,9084.7,6645.7,775.7,277.0,93.67,86.32,429.06,133946.37
93,20190116,3,1,8598.8,5875.6,695.5,250.9,88.66,80.63,406.69,145596.02
94,20190116,4,1,13074.5,10922.8,909.0,520.8,98.64,98.58,777.89,69904.68
95,20190116,5,1,11894.9,8832.4,954.9,257.6,89.74,87.62,777.45,139238.34
96,20190116,6,1,12747.1,10568.2,1257.1,483.1,96.17,97.83,861.38,162727.05
97,20190117,1,1,8903.3,6802.8,620.5,274.8,91.8,90.16,531.91,87497.32
98,20190117,2,1,9698.6,7956.2,906.8,325.3,100.0,96.8,545.22,88343.3
99,20190117,3,1,9169.1,6681.0,733.7,246.8,94.54,85.98,393.63,98353.08
100,20190117,4,1,11542.3,8285.0,866.2,368.3,87.08,84.7,797.2,86648.27
101,20190117,5,1,12448.9,9189.0,938.4,342.5,93.92,87.1,567.32,131966.59
102,20190117,6,1,11759.7,8776.9,805.9,293.2,88.72,88.07,496.32,92822.12
103,20190118,1,1,2385.9,457.0,43.7,64.9,24.6,22.6,101.99,207455.01
104,20190118,2,1,9032.3,6490.3,631.1,281.3,93.13,84.79,500.15,131604.03
105,20190118,3,1,8840.3,6789.1,777.7,179.0,91.15,90.62,463.36,240738.37
106,20190118,4,1,10778.8,6902.1,696.0,363.3,81.32,75.56,485.96,96616.07
107,20190118,5,1,11718.6,8056.0,698.4,299.0,88.41,81.12,574.12,162568.9
108,20190118,6,1,13122.2,10563.4,1105.6,382.6,99.0,94.99,578.23,68539.51
109,20190119,1,1,2525.5,526.9,60.3,72.7,26.04,24.62,133.65,226716.58
110,20190119,2,1,8807.3,6583.8,605.8,282.4,90.81,88.21,536.0,117916.49
111,20190119,3,1,8747.2,6606.4,695.8,344.2,90.19,89.12,555.09,101644.33
112,20190119,4,1,12604.0,10099.2,955.4,487.0,95.09,94.55,579.71,44820.96
113,20190119,5,1,12425.0,9887.4,1105.4,415.7,93.74,93.9,548.88,100127.71
114,20190119,6,1,1173.0,83.6,7.9,34.0,8.85,8.41,67.96,135462.69
115,20190120,1,1,2724.3,651.3,63.0,56.5,28.09,28.21,188.12,250794.34
116,20190120,2,1,8891.7,6709.5,782.2,197.3,91.68,89.04,421.88,137421.95
117,20190120,3,1,8640.5,6376.4,675.1,339.9,89.09,87.08,431.57,150634.58
118,20190120,4,1,11882.9,8232.4,731.7,415.2,89.65,81.75,674.23,141572.17
119,20190120,5,1,11910.8,8902.8,958.1,274.1,89.86,88.2,832.94,118003.2
120,20190120,6,1,3712.7,802.3,90.9,128.5,28.01,25.5,187.31,72842.95
121,20190121,1,1,1748.7,251.6,21.1,60.2,18.03,16.98,93.68,106334.28
122,20190121,2,1,9327.2,7571.6,887.4,324.7,96.17,95.79,517.47,126562.55
123,20190121,3,1,8632.8,6484.1,682.1,204.8,89.01,88.63,515.54,91345.2
124,20190121,4,1,12590.7,10196.4,999.1,360.0,94.99,95.56,505.31,91496.03
125,20190121,5,1,12056.6,9008.7,1008.8,370.6,90.96,88.17,614.57,94905.94
126,20190121,6,1,2885.6,510.4,60.6,75.8,21.77,20.87,149.07,110414.87
127,20190122,1,1,1338.4,149.5,13.0,44.8,13.8,13.18,85.68,241899.57
128,20190122,2,1,8357.3,5984.7,553.7,207.0,86.17,84.5,363.61,108444.68
129,20190122,3,1,8620.1,6291.2,609.8,256.3,88.88,86.12,483.77,91684.34
130,20190122,4,1,12786.9,9771.1,854.8,471.1,96.47,90.17,749.09,118435.65
131,20190122,5,1,11819.3,8738.3,842.1,352.6,89.17,87.24,724.57,114574.32
132,20190122,6,1,2535.6,409.1,36.3,52.4,19.13,19.04,118.53,61935.86
133,20190123,1,1,1856.3,298.9,29.8,56.1,19.14,19.0,106.15,84680.3
134,20190123,2,1,9351.4,7785.5,791.6,328.6,96.42,98.24,587.27,113977.92
135,20190123,3,1,8455.3,6112.2,549.5,317.0,87.18,85.3,346.39,56190.45
136,20190123,4,1,12719.3,10164.7,1163.3,409.6,95.96,94.3,672.15,173807.7
137,20190123,5,1,12699.4,9985.2,1011.4,405.6,95.81,92.78,572.12,190979.69
138,20190123,6,1,2560.8,425.4,42.8,97.3,19.32,19.6,165.06,112505.82
139,20190124,1,1,1157.0,114.5,12.4,26.2,11.93,11.68,51.36,102028.12
140,20190124,2,1,8372.8,6133.5,587.0,191.3,86.33,86.44,493.76,138083.83
141,20190124,3,1,9633.6,8046.5,773.4,337.1,99.33,98.56,586.12,192926.25
142,20190124,4,1,12757.7,9974.8,1030.2,476.9,96.25,92.26,834.55,162903.79
143,20190124,5,1,12882.3,10055.9,1193.9,470.2,97.19,92.11,706.48,101273.31
144,20190124,6,1,2476.0,358.8,40.9,88.6,18.68,17.1,165.46,203919.25
145,20190125,1,1,524.7,24.3,2.1,15.3,5.41,5.47,36.6,40641.49
146,20190125,2,1,8461.1,6287.7,526.5,230.2,87.24,87.69,359.37,165509.4
147,20190125,3,1,9534.7,7841.1,864.2,272.5,98.31,97.04,407.47,84295.64
148,20190125,4,1,12564.2,9178.3,952.2,381.8,94.79,86.2,670.33,71753.22
149,20190125,5,1,13091.8,10775.2,1067.9,321.8,98.77,97.12,558.76,151654.27
150,20190125,6,1,1880.9,211.7,20.2,68.2,14.19,13.28,124.58,162129.75
151,20190126,1,1,650.8,35.8,3.7,15.2,6.71,6.49,32.89,54887.74
152,20190126,2,1,9548.3,8048.9,842.3,275.4,98.45,99.47,444.16,100378.7
153,20190126,3,1,9094.4,7063.6,635.2,291.2,93.77,91.65,560.54,166014.01
154,20190126,4,1,11939.9,8866.9,776.3,332.3,90.08,87.63,709.05,308540.12
155,20190126,5,1,12361.4,9075.2,957.6,264.8,93.26,86.63,824.03,71053.16
156,20190126,6,1,1711.2,177.2,20.1,48.6,12.91,12.22,96.5,78492.45
157,20190127,1,1,2878.6,657.9,68.1,58.4,29.68,26.97,133.78,108784.68
158,20190127,2,1,9401.9,7612.3,842.6,267.7,96.94,95.54,489.54,147832.07
159,20190127,3,1,9112.8,6599.1,771.0,359.8,93.96,85.45,406.99,90019.31
160,20190127,4,1,12508.5,9919.9,1051.4,411.1,94.37,93.58,616.73,47769.42
161,20190127,5,1,12354.8,9866.0,835.1,398.4,93.21,94.23,514.59,167465.22
162,20190127,6,1,1244.6,89.3,7.6,25.2,9.39,8.47,68.32,96505.6
163,20190128,1,1,2479.0,500.0,47.4,86.8,25.56,23.8,164.12,143844.3
164,20190128,2,1,9309.7,7634.0,713.0,266.1,95.99,96.76,518.7,142762.49
165,20190128,3,1,8888.8,6925.7,600.3,205.7,91.65,91.94,561.77,275258.49
166,20190128,4,1,12315.0,8860.6,971.4,246.9,92.91,84.9,809.84,37241.28
167,20190128,5,1,12908.8,9633.5,1080.2,442.5,97.39,88.06,770.28,93318.64
168,20190128,6,1,13254.8,11232.9,1042.4,484.1,100.0,100.0,757.46,53947.23
169,20190129,1,1,613.0,30.4,3.1,12.8,6.32,5.86,31.89,157557.84
170,20190129,2,1,9386.3,7269.6,666.4,335.0,96.78,91.39,583.71,90728.75
171,20190129,3,1,9240.9,7585.3,909.6,328.2,95.28,96.86,572.69,140342.59
172,20190129,4,1,13046.7,9825.9,998.9,426.9,98.43,88.87,793.29,72343.9
173,20190129,5,1,13254.8,11132.9,1058.2,460.8,100.0,99.11,652.47,29075.98
174,20190129,6,1,12615.9,9500.4,776.7,310.7,95.18,88.86,824.64,67771.6
175,20190130,1,1,1596.4,220.4,22.8,48.1,16.46,16.29,94.37,100468.84
176,20190130,2,1,8982.9,6398.4,681.4,203.1,92.62,84.05,437.92,77517.82
177,20190130,3,1,8823.8,6313.5,743.4,200.5,90.98,84.43,556.82,114096.04
178,20190130,4,1,12843.9,9644.9,909.8,454.8,96.9,88.61,687.89,101189.04
179,20190130,5,1,13138.2,10335.7,1118.2,421.3,99.12,92.83,610.28,159938.5
180,20190130,6,1,12845.2,10394.8,1234.2,358.7,96.91,95.49,532.67,55714.11
181,20190131,1,1,906.8,72.9,8.3,28.2,9.35,9.48,51.24,150954.62
182,20190131,2,1,9645.3,7533.1,662.4,270.2,99.45,92.16,584.39,245472.03
183,20190131,3,1,9274.8,6832.7,819.1,222.2,95.63,86.93,550.73,151598.46
184,20190131,4,1,12881.0,9703.3,1142.0,270.7,97.18,88.89,872.35,101599.69
185,20190131,5,1,11537.0,8165.8,778.3,329.2,87.04,83.52,583.98,176609.52
186,20190131,6,1,12043.3,9029.4,945.2,396.8,90.86,88.47,661.98,198677.08
187,20190201,1,1,697.3,40.2,3.9,22.9,7.19,6.8,44.57,123723.12
188,20190201,2,1,9093.4,6834.7,741.8,269.1,93.76,88.69,576.91,93792.72
189,20190201,3,1,8885.9,6230.7,647.3,182.9,91.62,82.74,571.55,54700.12
190,20190201,4,1,12706.0,9874.1,931.1,402.5,95.86,91.7,596.96,87966.26
191,20190201,5,1,12362.7,9722.6,1064.5,436.2,93.27,92.8,846.03,36811.57
192,20190201,6,1,12980.4,10977.3,954.5,321.0,97.93,99.79,643.05,154826.43
193,20190202,1,1,1919.4,316.9,29.8,60.2,19.79,19.48,84.96,124282.03
194,20190202,2,1,9147.7,7108.9,574.4,270.4,94.32,91.7,456.95,179852.12
195,20190202,3,1,9050.8,6734.4,586.6,326.3,93.32,87.8,597.77,141335.64
196,20190202,4,1,12824.0,9923.4,822.7,437.2,96.75,91.31,767.7,131165.63
197,20190202,5,1,12743.2,9746.4,1160.2,441.5,96.14,90.25,676.74,144582.84
198,20190202,6,1,11986.3,8887.1,1027.2,386.8,90.43,87.49,607.76,221336.45
199,20190203,1,1,1402.4,169.8,15.6,33.0,14.46,14.29,56.17,166002.73
200,20190203,2,1,9574.5,8027.2,889.7,300.2,98.72,98.93,435.28,62492.97
201,20190203,3,1,8595.9,5891.1,588.2,228.9,88.63,80.87,363.9,102823.3
202,20190203,4,1,2770.3,498.4,56.3,92.5,20.9,21.23,171.42,62689.95
203,20190203,5,1,11839.2,8441.9,941.1,407.4,89.32,84.14,490.67,111546.58
204,20190203,6,1,12602.7,10213.5,960.6,346.7,95.08,95.63,817.46,191915.51
205,20190204,1,1,2323.8,437.4,42.9,83.6,23.96,22.21,95.28,79470.82
206,20190204,2,1,9366.9,7716.6,667.0,201.4,96.58,97.21,639.34,196955.84
207,20190204,3,1,9698.6,8091.8,787.0,320.8,100.0,98.45,564.65,114409.52
208,20190204,4,1,1760.2,201.4,19.4,54.7,13.28,13.5,119.28,130140.97
209,20190204,5,1,12223.6,8938.7,749.4,340.5,92.22,86.29,690.51,119214.25
210,20190204,6,1,12553.6,10064.2,1056.8,371.7,94.71,94.6,538.67,68833.87
211,20190205,1,1,2854.3,681.2,57.6,101.9,29.43,28.16,154.5,173496.89
212,20190205,2,1,9023.6,6951.2,663.8,247.4,93.04,90.9,464.2,113449.1
213,20190205,3,1,2514.9,534.7,46.0,85.3,25.93,25.09,107.89,218983.29
214,20190205,4,1,2034.6,262.3,23.4,43.2,15.35,15.21,105.01,188354.52
215,20190205,5,1,11847.1,8692.6,777.3,307.8,89.38,86.58,614.2,132772.56
216,20190205,6,1,11179.1,7739.2,923.4,256.5,84.34,81.69,765.52,60399.91
217,20190206,1,1,890.3,64.1,5.6,18.6,9.18,8.5,37.71,140463.53
218,20190206,2,1,9116.7,7054.6,654.6,314.9,94.0,91.31,585.48,63352.24
219,20190206,3,1,1823.3,291.3,29.4,69.9,18.8,18.85,73.61,167493.95
220,20190206,4,1,3252.7,618.0,53.1,101.9,24.54,22.42,186.97,75086.73
221,20190206,5,1,12057.9,9004.6,890.8,282.7,90.97,88.12,628.09,154733.16
222,20190206,6,1,11893.5,9093.5,978.6,249.6,89.73,90.22,645.3,93172.07
223,20190207,1,1,1304.5,148.0,13.7,48.1,13.45,13.39,85.77,91892.99
224,20190207,2,1,9244.7,7388.0,819.8,244.2,95.32,94.3,571.91,129877.57
225,20190207,3,1,1555.7,213.4,20.5,46.2,16.04,16.19,86.33,109487.98
226,20190207,4,1,3285.9,626.8,67.9,92.2,24.79,22.51,208.38,124727.25
227,20190207,5,1,12825.3,9717.9,799.8,265.0,96.76,89.41,532.47,106469.62
228,20190207,6,1,13254.8,10606.1,1045.4,370.3,100.0,94.42,897.25,141386.04
229,20190208,1,1,1670.1,232.4,27.5,49.3,17.22,16.42,94.43,62125.57
230,20190208,2,1,8980.0,6418.4,520.5,188.5,92.59,84.34,589.22,153222.99
231,20190208,3,1,1021.3,84.5,7.5,33.7,10.53,9.76,56.58,152205.34
232,20190208,4,1,1101.5,71.4,8.0,27.0,8.31,7.65,64.16,146315.0
233,20190208,5,1,13254.8,11232.9,1281.3,386.8,100.0,100.0,616.96,90401.48
234,20190208,6,1,11825.9,8055.7,966.5,465.1,89.22,80.38,770.83,133127.44
235,20190209,1,1,1170.6,117.6,11.7,31.3,12.07,11.85,56.53,101651.76
236,20190209,2,1,8658.9,6412.0,757.2,286.0,89.28,87.38,395.29,121889.21
237,20190209,3,1,622.7,34.0,3.8,17.5,6.42,6.44,30.88,119693.27
238,20190209,4,1,3667.6,815.9,89.3,116.1,27.67,26.25,256.15,166941.06
239,20190209,5,1,12142.7,9206.9,911.8,471.3,91.61,89.47,616.3,101728.08
240,20190209,6,1,11540.9,8335.9,853.0,298.6,87.07,85.23,624.63,218999.2
241,20190210,1,1,1840.8,298.9,35.2,69.9,18.98,19.16,109.77,93887.3
242,20190210,2,1,9300.0,7606.3,721.6,294.9,95.89,96.51,501.39,149491.24
243,20190210,3,1,1990.2,331.1,29.1,44.6,20.52,19.63,120.25,124260.45
244,20190210,4,1,3548.3,739.1,88.5,95.3,26.77,24.58,247.02,104749.21
245,20190210,5,1,11926.7,8678.2,766.9,423.1,89.98,85.86,683.26,149604.55
246,20190210,6,1,11812.7,8489.1,841.2,237.4,89.12,84.8,661.67,122630.52
247,20190211,1,1,494.6,21.1,1.9,18.6,5.1,5.04,24.41,69309.14
248,20190211,2,1,9185.6,6906.3,570.5,192.1,94.71,88.72,628.79,112668.04
249,20190211,3,1,1755.5,256.3,27.5,39.8,18.1,17.23,122.68,116806.8
250,20190211,4,1,1208.8,94.2,10.6,24.6,9.12,9.2,56.49,61881.27
251,20190211,5,1,12924.8,10627.9,1009.7,424.0,97.51,97.03,816.04,147757.46
252,20190211,6,1,12911.5,9654.1,814.1,474.1,97.41,88.23,535.14,74666.7
253,20190212,1,1,784.6,50.1,5.4,18.9,8.09,7.53,47.52,67092.03
254,20190212,2,1,9398.0,7522.4,812.6,266.7,96.9,94.45,629.28,122521.41
255,20190212,3,1,1170.6,119.0,11.9,37.7,12.07,12.0,74.14,101729.08
256,20190212,4,1,12707.4,9490.7,967.3,485.5,95.87,88.13,770.65,117937.92
257,20190212,5,1,12554.9,9203.4,947.6,375.2,94.72,86.5,859.8,147653.61
258,20190212,6,1,12345.5,9615.9,1117.3,406.0,93.14,91.91,662.98,89186.83
259,20190213,1,1,1517.8,183.9,21.0,57.4,15.65,14.3,61.15,59391.8
260,20190213,2,1,8629.8,6602.6,599.1,299.1,88.98,90.28,441.66,106240.23
261,20190213,3,1,1455.8,176.8,20.1,49.2,15.01,14.33,79.12,74881.01
262,20190213,4,1,13254.8,10334.2,881.5,457.7,100.0,92.0,920.51,156199.07
263,20190213,5,1,12843.9,10213.1,996.0,413.9,96.9,93.83,813.98,209253.5
264,20190213,6,1,12004.9,9266.1,1010.8,454.2,90.57,91.08,654.18,111607.05
265,20190214,1,1,1553.7,191.4,20.3,31.5,16.02,14.54,102.62,128241.97
266,20190214,2,1,8974.1,7140.5,820.6,272.7,92.53,93.89,544.25,138455.92
267,20190214,3,1,2247.2,422.6,45.0,73.8,23.17,22.19,99.91,129786.07
268,20190214,4,1,11954.5,9247.5,926.8,351.3,90.19,91.28,656.0,47645.77
269,20190214,5,1,12122.8,8770.6,879.5,375.9,91.46,85.37,622.62,109704.79
270,20190214,6,1,12756.4,9473.3,946.7,335.8,96.24,87.63,885.55,112030.2
271,20190215,1,1,1816.6,288.0,32.2,71.3,18.73,18.71,107.41,221216.04
272,20190215,2,1,8778.2,6335.2,716.0,318.9,90.51,85.16,573.48,73094.0
273,20190215,3,1,1939.7,324.2,30.6,56.3,20.0,19.72,83.26,91482.15
274,20190215,4,1,11843.2,8931.5,910.2,325.4,89.35,88.99,511.5,205211.86
275,20190215,5,1,12707.4,9798.7,883.6,303.9,95.87,90.99,554.33,163301.03
276,20190215,6,1,11540.9,8507.0,745.4,308.8,87.07,86.98,723.78,137306.85
277,20190216,1,1,2646.8,584.5,60.5,79.6,27.29,26.06,182.41,127981.7
278,20190216,2,1,8261.3,5926.4,689.9,279.5,85.18,84.65,373.49,152750.32
279,20190216,3,1,2079.4,367.6,34.1,78.2,21.44,20.86,109.29,153045.04
280,20190216,4,1,11713.3,8156.6,782.3,314.6,88.37,82.17,571.9,152960.79
281,20190216,5,1,11442.9,8048.8,915.3,354.2,86.33,83.0,565.48,172693.27
282,20190216,6,1,11662.9,8054.3,711.9,399.9,87.99,81.49,706.75,74013.48
283,20190217,1,1,2029.0,354.4,39.1,63.4,20.92,20.61,116.64,370208.31
284,20190217,2,1,8242.9,5644.3,454.4,182.4,84.99,80.8,423.9,56935.3
285,20190217,3,1,2869.8,706.8,60.7,61.0,29.59,29.06,182.32,77076.87
286,20190217,4,1,12097.7,8824.1,865.7,391.0,91.27,86.07,729.08,126752.69
287,20190217,5,1,12010.2,8865.1,991.8,407.4,90.61,87.1,730.08,72588.72
288,20190217,6,1,11906.8,8611.2,960.4,401.3,89.83,85.34,821.27,187092.33
289,20190218,1,1,1031.9,90.9,9.9,28.2,10.64,10.39,59.49,147102.08
290,20190218,2,1,8980.0,6721.3,802.1,193.0,92.59,88.32,618.49,144123.24
291,20190218,3,1,583.9,27.8,2.5,13.6,6.02,5.62,38.18,248918.33
292,20190218,4,1,11983.7,9115.7,957.3,441.8,90.41,89.76,587.62,186743.14
293,20190218,5,1,13073.2,10523.9,1244.8,397.6,98.63,94.99,831.3,71946.86
294,20190218,6,1,12694.1,9771.2,918.3,478.2,95.77,90.83,760.38,101838.92
295,20190219,1,1,9531.8,7597.2,778.4,334.0,98.28,94.05,566.94,80096.59
296,20190219,2,1,8853.9,6362.0,672.4,339.7,91.29,84.79,418.92,80483.39
297,20190219,3,1,759.4,46.9,5.1,15.6,7.83,7.29,42.15,175855.24
298,20190219,4,1,11715.9,8211.1,870.9,309.4,88.39,82.7,497.58,179340.07
299,20190219,5,1,12293.8,9423.5,833.3,400.7,92.75,90.45,570.37,260261.18
300,20190219,6,1,12601.3,10208.1,1119.4,361.7,95.07,95.59,812.82,89310.57
301,20190220,1,1,9698.6,7467.1,842.8,370.7,100.0,90.85,506.55,113429.04
302,20190220,2,1,8863.6,6275.9,503.6,305.0,91.39,83.55,371.36,174086.34
303,20190220,3,1,1704.0,237.1,25.5,54.8,17.57,16.42,82.55,192641.13
304,20190220,4,1,12808.1,10474.4,850.9,296.2,96.63,96.5,596.81,276072.69
305,20190220,5,1,12586.8,9887.0,908.8,475.0,94.96,92.69,868.0,245450.42
306,20190220,6,1,11967.8,9293.3,747.6,448.7,90.29,91.63,529.47,57488.36
307,20190221,1,1,8635.7,5931.5,524.4,300.8,89.04,81.05,533.5,158972.4
308,20190221,2,1,9321.4,7000.5,732.8,233.5,96.11,88.62,404.91,157376.01
