MaintenanceID,DateKey,EquipmentID,EmployeeID,MaintenanceType,DowntimeHours,MaintenanceCost,Status
86,20210102,298,1182,Vibration Analysis,3.3,510.85,Completed
87,20190724,102,1146,Lubrication Service,0.9,1087.74,Completed
88,20200612,188,1809,Predictive,3.9,1613.99,Cancelled
89,20210825,103,2247,Calibration,0.9,1880.17,Cancelled
90,20191209,96,816,Piping Inspection,2.0,4461.72,Completed
91,20191213,182,1527,Corrective,5.3,66778.37,Completed
92,20190217,132,1415,Lubrication Service,1.4,649.0,Cancelled
93,20220823,39,1180,Preventive,2.4,4796.48,Deferred
94,20220428,287,829,SRV Testing,1.7,1942.67,Cancelled
95,20211008,268,231,Vibration Analysis,1.4,1597.32,Cancelled
96,20210531,324,2059,Thickness Measurement,3.8,2508.08,Cancelled
97,20201121,329,474,Electrical Inspection,1.1,2614.92,Completed
98,20190523,314,798,Electrical Inspection,2.7,2510.98,Completed
99,20221023,157,1568,SRV Testing,3.6,3634.82,In Progress
100,20200307,65,2137,Condition-Based,2.2,5802.51,In Progress
101,20220709,76,506,SRV Testing,3.0,1895.48,Completed
102,20191014,44,2928,Condition-Based,3.7,2004.01,In Progress
103,20220718,27,2455,Thickness Measurement,3.1,2396.94,Deferred
104,20190601,144,2452,Preventive,0.9,622.77,Completed
105,20220501,320,1959,Corrective,3.7,36775.91,In Progress
106,20211104,306,516,Electrical Inspection,2.8,3494.05,Cancelled
107,20190818,79,2958,Predictive,2.5,2407.04,Completed
108,20241026,246,1784,Lubrication Service,3.3,1236.32,Completed
109,20210810,32,2052,Corrective,2.0,79991.0,Deferred
110,20240514,290,2079,Corrective,22.5,49170.28,Deferred
111,20200117,190,1059,Predictive,1.9,1557.74,Completed
112,20210223,197,844,Piping Inspection,3.5,3483.38,Completed
113,20190821,189,59,Piping Inspection,3.7,3749.38,Deferred
114,20200707,98,577,Corrective,6.0,38778.57,Deferred
115,20200708,44,2510,Predictive,3.9,1134.01,Completed
116,20190627,284,934,SRV Testing,0.7,3919.49,Cancelled
117,20190313,274,1717,Preventive,1.8,5063.77,Deferred
118,20200415,278,1872,Piping Inspection,1.1,4176.97,Cancelled
119,20241225,153,344,Lubrication Service,1.5,712.08,In Progress
120,20190306,218,1689,Predictive,1.0,2052.61,Completed
121,20220807,32,1269,Predictive,1.4,2506.76,Completed
122,20241027,81,2413,Electrical Inspection,1.0,3201.93,Deferred
123,20220724,101,837,Corrective,5.4,28432.68,In Progress
124,20211106,258,1742,Thickness Measurement,2.0,2481.42,Completed
125,20190905,295,344,Predictive,3.5,1997.12,Completed
126,20201018,159,2150,Corrective,7.2,37778.85,Cancelled
127,20220323,291,1800,Vibration Analysis,3.3,1385.57,In Progress
128,20190729,187,1111,Preventive,1.2,1507.46,Completed
129,20231019,67,460,Calibration,1.7,560.59,Deferred
130,20220627,50,2983,Preventive,1.5,6090.58,In Progress
131,20240728,176,2106,Condition-Based,2.5,1884.42,In Progress
132,20201116,211,128,Vibration Analysis,1.4,1915.63,Completed
133,20240326,46,94,Calibration,3.4,2183.49,Completed
134,20210302,227,1382,Predictive,1.6,2394.18,Completed
135,20231206,4,1918,Lubrication Service,3.8,622.93,Completed
136,20230704,195,992,SRV Testing,1.4,1798.74,Completed
137,20200708,333,1177,Vibration Analysis,2.1,873.72,Completed
138,20221019,103,2291,Condition-Based,3.7,2955.23,Deferred
139,20240112,223,411,Corrective,6.3,8718.19,Cancelled
140,20221004,27,1703,Vibration Analysis,1.1,1975.57,Completed
141,20190310,198,1700,Preventive,1.7,4057.68,In Progress
142,20200713,198,2543,Calibration,3.5,245.3,Completed
143,20230310,243,730,Vibration Analysis,2.0,1130.79,Deferred
144,20231029,128,2610,Preventive,1.7,3325.48,Completed
145,20220223,242,2453,Thickness Measurement,1.5,1225.97,Completed
146,20210107,248,399,Lubrication Service,3.9,778.95,Cancelled
147,20190106,288,2213,Corrective,3.6,65880.99,In Progress
148,20201129,70,1077,Calibration,3.3,2373.49,Deferred
149,20210130,110,2326,Predictive,2.5,1121.73,Completed
150,20221014,292,951,Electrical Inspection,1.4,1912.66,Completed
151,20220115,197,789,Corrective,1.9,57544.15,Cancelled
152,20200922,74,742,Electrical Inspection,2.1,1845.2,Completed
153,20220315,107,1523,SRV Testing,1.9,3745.89,Completed
154,20220303,252,1704,Vibration Analysis,3.3,1538.41,In Progress
155,20241113,179,114,Condition-Based,2.6,3962.06,Completed
156,20190213,301,2792,Vibration Analysis,0.9,1073.04,Completed
157,20220127,166,1144,Predictive,1.8,4247.01,In Progress
158,20200813,265,2270,SRV Testing,2.8,3934.31,Completed
159,20210511,238,2416,Vibration Analysis,2.3,435.62,Cancelled
160,20210203,76,415,Thickness Measurement,3.4,2830.89,Cancelled
161,20220307,92,1472,Corrective,5.4,77342.5,Completed
162,20201206,171,1189,Thickness Measurement,2.7,2693.05,In Progress
163,20220714,45,935,Electrical Inspection,1.3,2311.04,Completed
164,20240128,294,1419,Thickness Measurement,3.8,1033.1,Completed
165,20240121,283,2334,Electrical Inspection,3.3,3706.46,In Progress
166,20241105,84,1296,Thickness Measurement,2.3,1823.07,Completed
167,20221128,111,746,Preventive,2.5,6798.42,Cancelled
168,20230506,77,1171,Piping Inspection,0.9,3226.5,Completed
169,20200909,243,2732,Piping Inspection,3.8,2811.47,Cancelled
170,20230602,229,2086,Piping Inspection,2.0,3784.81,Cancelled
171,20240929,140,2275,Corrective,10.8,18374.43,Completed
172,20190104,277,874,Lubrication Service,1.5,761.45,Cancelled
173,20200529,105,1547,Corrective,8.1,40244.61,Completed
174,20220930,98,1493,Calibration,1.8,915.28,In Progress
175,20190916,72,1760,Preventive,3.9,5864.77,Completed
176,20200921,258,1725,Preventive,3.8,7698.62,Completed
177,20201222,301,2949,Calibration,1.5,2427.23,In Progress
178,20200325,67,421,Thickness Measurement,1.9,2430.55,In Progress
179,20220127,75,1627,Corrective,1.7,62890.75,Completed
180,20230125,240,283,Lubrication Service,3.8,295.49,Deferred
181,20210514,62,2200,Condition-Based,2.1,1776.99,Deferred
182,20190711,28,2498,Condition-Based,2.4,1827.01,Completed
183,20220629,221,233,Lubrication Service,0.8,1462.05,Completed
184,20240816,264,572,Electrical Inspection,2.2,886.86,Completed
185,20221010,227,227,Vibration Analysis,1.0,1989.3,Cancelled
186,20200611,159,9,Corrective,0.6,71018.31,Completed
187,20240407,253,2051,Calibration,2.2,760.71,Completed
188,20230807,132,272,SRV Testing,0.7,3943.73,Completed
189,20240517,245,2462,SRV Testing,3.9,2818.07,Cancelled
190,20230822,294,2172,Electrical Inspection,3.4,1555.01,Completed
191,20201117,97,1104,Vibration Analysis,1.7,1023.59,Completed
192,20240715,42,459,Condition-Based,2.2,4180.5,In Progress
193,20200229,305,1398,Condition-Based,3.3,5777.38,Completed
194,20240304,97,2043,Piping Inspection,0.6,988.16,Completed
195,20230203,232,2046,Calibration,2.0,1446.71,Deferred
196,20230210,11,101,Thickness Measurement,2.3,958.42,Completed
197,20221012,327,2147,Predictive,2.5,2077.34,Completed
198,20230907,30,1827,SRV Testing,2.2,1098.85,In Progress
199,20191126,289,431,Piping Inspection,3.7,1240.03,Cancelled
200,20201107,94,781,Corrective,23.9,14149.18,Cancelled
201,20220131,16,1312,Electrical Inspection,1.1,1393.39,Completed
202,20231019,153,671,Vibration Analysis,1.2,1871.39,In Progress
203,20210717,103,1010,SRV Testing,1.2,3198.57,Cancelled
204,20231204,151,2418,Electrical Inspection,0.9,3818.86,Deferred
205,20210910,92,747,SRV Testing,3.0,3436.02,In Progress
206,20220405,5,1616,Condition-Based,2.9,3706.73,In Progress
207,20230510,295,2682,Thickness Measurement,0.7,690.65,Completed
208,20241209,242,1530,Thickness Measurement,3.4,2210.7,Completed
209,20230903,18,2411,Thickness Measurement,3.3,2226.38,Completed
210,20220329,80,585,Preventive,2.6,501.44,Completed
211,20230408,107,915,Piping Inspection,3.1,3266.75,Cancelled
212,20211105,319,2370,Lubrication Service,1.4,487.18,Completed
213,20200704,79,858,Calibration,3.3,1623.74,Cancelled
214,20231227,180,1325,Preventive,2.9,7760.55,Deferred
215,20211012,245,416,Electrical Inspection,2.8,1372.47,Completed
216,20211107,135,2968,Predictive,3.4,3647.14,Deferred
217,20211111,185,154,SRV Testing,0.5,3684.93,Completed
218,20240528,140,2420,Corrective,4.0,77598.01,Completed
219,20241116,234,2386,Thickness Measurement,2.3,2569.07,Completed
220,20200717,207,772,Predictive,1.8,4954.65,In Progress
221,20210515,299,2553,SRV Testing,1.7,1343.89,Completed
222,20191122,67,574,Electrical Inspection,1.8,1864.96,Deferred
223,20231218,174,1927,Electrical Inspection,3.9,1893.47,Cancelled
224,20210807,298,2229,Corrective,11.2,25482.7,In Progress
225,20221011,132,2214,Corrective,10.9,65420.19,Completed
226,20200331,321,1430,Vibration Analysis,1.0,933.9,Cancelled
227,20240109,279,1051,Preventive,1.1,5075.49,Completed
228,20220908,267,2618,Thickness Measurement,0.8,1139.57,Completed
229,20221205,232,1147,Lubrication Service,3.1,1309.37,In Progress
230,20220604,296,1283,Condition-Based,1.2,4185.15,Completed
231,20240515,278,1873,Electrical Inspection,1.1,1087.47,Completed
232,20220901,233,1381,Lubrication Service,2.5,320.43,Deferred
233,20220913,271,400,SRV Testing,3.6,2638.83,In Progress
234,20191222,241,870,Predictive,1.5,965.42,Completed
235,20240904,327,1921,Lubrication Service,3.7,477.2,Completed
236,20200913,291,2054,Corrective,8.6,42855.36,Deferred
237,20190517,295,2031,Calibration,3.5,383.38,Completed
238,20200511,322,154,Calibration,2.6,1214.2,Completed
239,20211216,211,2522,Electrical Inspection,3.2,2308.3,Deferred
240,20240929,328,776,Preventive,1.5,6374.84,Completed
241,20240823,137,1559,Vibration Analysis,1.5,334.64,Completed
242,20240811,51,1322,Corrective,3.5,28450.57,Deferred
243,20200421,302,2190,Calibration,3.9,1813.82,Completed
244,20231003,180,2276,Lubrication Service,1.5,384.63,Cancelled
245,20240707,52,2616,Predictive,1.9,4405.24,Completed
246,20191220,89,1282,Piping Inspection,3.7,3297.87,Completed
247,20210508,162,326,Calibration,2.2,2188.68,Completed
248,20240602,173,1660,Corrective,1.2,51840.78,In Progress
249,20220530,116,2069,Piping Inspection,3.9,3251.88,Deferred
250,20191212,75,526,Electrical Inspection,3.2,633.88,Completed
251,20210329,271,1788,Calibration,2.9,1461.49,Completed
252,20210713,50,570,SRV Testing,1.3,1651.27,In Progress
253,20200527,151,777,SRV Testing,3.2,3160.41,Completed
254,20221217,71,1914,Calibration,1.1,789.35,Deferred
255,20210914,11,669,Lubrication Service,4.0,749.81,In Progress
256,20240704,250,2794,Piping Inspection,1.6,1384.64,Completed
257,20241121,300,1767,Piping Inspection,1.4,1923.66,Cancelled
258,20211005,147,1651,Calibration,3.6,2163.23,Deferred
259,20211124,321,1133,Condition-Based,3.0,3099.05,Deferred
260,20190321,210,2238,Preventive,0.7,877.7,Completed
261,20230417,73,656,Lubrication Service,1.1,1473.14,Completed
262,20190305,31,639,Electrical Inspection,0.8,2164.41,In Progress
263,20220630,270,1155,Corrective,12.8,59571.86,Completed
264,20240202,241,1097,Preventive,2.0,3430.88,Completed
265,20240924,25,235,Lubrication Service,3.0,980.87,Completed
266,20230602,275,2662,SRV Testing,1.0,3563.18,Deferred
267,20211220,74,403,Calibration,2.4,657.51,Completed
268,20230303,178,197,Predictive,3.3,921.41,In Progress
269,20230529,156,2730,Electrical Inspection,3.8,3097.55,Deferred
270,20210424,15,1582,Calibration,3.6,600.82,Completed
271,20220114,192,363,Preventive,1.3,6733.59,Cancelled
272,20221209,191,1901,Lubrication Service,2.8,870.81,Completed
273,20210105,20,251,Corrective,9.2,13626.87,Completed
274,20240423,238,2450,Condition-Based,3.8,1488.43,Completed
275,20210823,112,2305,Thickness Measurement,2.7,2121.2,Completed
276,20240207,221,2199,Thickness Measurement,2.2,1885.93,Completed
277,20211020,303,1806,Electrical Inspection,2.1,744.96,Cancelled
278,20220304,313,1041,Preventive,2.7,3229.22,Completed
279,20240908,229,2558,Calibration,1.6,2309.72,Cancelled
280,20220607,274,2334,Vibration Analysis,2.9,1397.36,In Progress
281,20190105,253,1729,Corrective,5.4,20810.23,Completed
282,20240314,163,529,Calibration,2.4,1427.84,Completed
283,20190723,211,2778,SRV Testing,1.3,2277.55,Completed
284,20210407,159,2371,Vibration Analysis,3.7,737.91,Completed
285,20210401,284,2816,Piping Inspection,3.7,1520.16,Completed
286,20190226,297,1748,Lubrication Service,2.3,1090.66,Cancelled
287,20230829,185,1591,Lubrication Service,2.7,1456.83,Deferred
288,20230522,302,1916,SRV Testing,2.3,2717.41,Completed
289,20231026,260,2317,Condition-Based,2.4,4258.69,Completed
290,20241211,140,799,Lubrication Service,1.9,551.97,Completed
291,20200117,2,2679,Predictive,0.7,2471.56,In Progress
292,20231030,178,513,Thickness Measurement,1.2,828.8,Completed
293,20230914,201,124,Predictive,1.9,4045.25,Cancelled
294,20190705,201,2638,Preventive,2.6,7523.33,In Progress
295,20191211,232,451,Vibration Analysis,2.1,1949.5,In Progress
296,20241216,237,193,Condition-Based,2.5,1028.08,In Progress
297,20201216,244,2033,Piping Inspection,1.3,3859.13,Completed
298,20220610,138,2650,Calibration,3.6,2449.01,Completed
299,20220820,253,2488,Piping Inspection,2.3,4692.58,Completed
300,20240819,214,720,Electrical Inspection,1.4,2055.77,Cancelled
301,20200805,147,635,Vibration Analysis,4.0,310.25,Completed
302,20230429,124,1702,Condition-Based,3.6,4387.38,Deferred
303,20230923,220,2448,Preventive,1.2,651.7,Completed
304,20211013,181,2869,Vibration Analysis,1.0,731.34,Completed
305,20210527,190,1074,Thickness Measurement,3.7,1746.42,Completed
306,20230125,279,2412,Vibration Analysis,0.6,554.94,In Progress
307,20220111,252,772,Predictive,2.9,4024.05,Completed
308,20210322,178,2741,Piping Inspection,2.5,2725.0,Completed
309,20240425,64,96,Piping Inspection,1.0,2780.16,Completed
310,20220312,316,679,Calibration,3.3,2313.49,Completed
311,20230218,263,2904,Electrical Inspection,2.6,1066.6,Deferred
312,20200331,3,795,Lubrication Service,3.4,1282.5,Completed
313,20210221,138,127,Electrical Inspection,3.1,3616.3,Completed
314,20230727,217,1881,Preventive,1.3,525.33,Completed
315,20220312,288,1467,Condition-Based,1.3,5735.22,Completed
316,20201030,314,1952,Predictive,2.1,4744.94,Completed
317,20190417,145,2000,Corrective,4.6,72249.5,Deferred
318,20210905,194,1999,Preventive,2.8,7646.74,Completed
319,20220102,168,2091,Calibration,2.1,1291.09,Completed
320,20241114,234,490,Corrective,11.0,52191.52,Completed
321,20231224,259,1779,Piping Inspection,1.3,1563.92,In Progress
322,20210103,161,1096,Vibration Analysis,2.1,1407.71,Cancelled
323,20220310,222,1267,Thickness Measurement,3.4,2141.82,Cancelled
324,20241220,160,1589,Condition-Based,1.6,1126.3,In Progress
325,20221129,193,1762,SRV Testing,3.5,1614.78,Completed
326,20220108,17,1039,SRV Testing,3.6,1436.5,Deferred
327,20221225,98,485,Electrical Inspection,3.8,1485.44,Deferred
328,20191226,217,422,Preventive,3.5,2820.98,In Progress
329,20230126,309,1380,Electrical Inspection,0.8,1498.41,Cancelled
330,20190504,323,557,Lubrication Service,0.6,1022.8,Completed
331,20200505,330,2359,Lubrication Service,1.9,1477.23,Cancelled
332,20210728,213,1066,SRV Testing,3.6,2984.05,Cancelled
333,20210404,319,1020,Calibration,3.1,921.68,Deferred
334,20230522,287,2167,Electrical Inspection,3.3,3427.87,In Progress
335,20240707,182,296,Corrective,0.9,53956.1,Completed
336,20230208,207,1391,Preventive,2.8,2403.68,Completed
337,20230708,7,1388,Lubrication Service,2.4,1378.99,Cancelled
338,20220128,308,2215,Vibration Analysis,2.0,1000.16,In Progress
339,20210309,186,2349,Lubrication Service,2.3,1244.92,Deferred
340,20200411,97,666,Preventive,1.2,4511.88,Completed
341,20240713,283,1688,Preventive,3.4,608.13,Deferred
342,20220110,177,658,Preventive,1.3,7772.73,Cancelled
343,20200516,5,278,Electrical Inspection,2.3,3365.23,In Progress
344,20221005,50,858,Calibration,3.0,2191.77,Completed
345,20190601,250,1834,Condition-Based,3.2,1225.75,Deferred
346,20220415,327,1728,Piping Inspection,2.6,3041.42,Cancelled
347,20211005,213,720,Lubrication Service,1.7,1034.02,Cancelled
348,20221111,24,1319,SRV Testing,1.3,1208.73,Cancelled
349,20201004,180,2956,Corrective,12.7,49524.33,Completed
350,20191207,243,2634,Vibration Analysis,1.6,745.47,Completed
351,20221117,80,467,Calibration,1.9,2087.34,Completed
352,20221011,161,823,Predictive,1.6,3186.66,Completed
353,20201026,92,1529,Calibration,3.7,1044.98,In Progress
354,20190607,18,109,Corrective,1.6,19035.33,Completed
355,20230306,70,1860,Predictive,1.5,1055.42,In Progress
356,20220213,197,963,SRV Testing,2.5,3675.06,Deferred
357,20190810,275,1200,Corrective,1.7,10180.95,In Progress
358,20231114,255,1235,Condition-Based,0.8,2186.94,Completed
359,20190405,63,1641,Preventive,3.5,4360.79,Completed
360,20190610,66,1376,Lubrication Service,3.5,498.88,Deferred
361,20220601,252,1776,Electrical Inspection,2.6,3270.59,Completed
362,20190904,98,1386,Preventive,2.0,3883.03,Cancelled
363,20221126,328,667,Corrective,38.2,73508.28,In Progress
364,20211103,225,1567,Preventive,2.8,4490.78,Cancelled
365,20200625,223,2910,Thickness Measurement,2.5,2855.69,Completed
366,20220429,256,1360,Predictive,2.4,2977.92,In Progress
367,20211013,98,2406,Preventive,2.5,6566.04,Completed
368,20210920,179,2215,Piping Inspection,0.8,1674.13,In Progress
369,20191226,156,1529,SRV Testing,1.2,2160.55,Completed
370,20241224,75,297,Condition-Based,2.9,5959.59,Completed
371,20231104,92,1271,Predictive,2.9,3128.26,In Progress
372,20230502,229,918,Piping Inspection,3.7,3940.68,Completed
373,20240128,129,1454,Electrical Inspection,2.8,676.32,Cancelled
374,20220101,304,1679,Preventive,3.7,2054.31,Cancelled
375,20230517,264,1514,Predictive,3.6,3517.9,In Progress
376,20191219,198,2663,Piping Inspection,3.5,3067.49,Completed
377,20230605,133,1014,Piping Inspection,0.7,2977.84,Completed
378,20220626,16,2729,SRV Testing,3.0,3681.85,Cancelled
379,20210422,203,2842,Thickness Measurement,3.3,2091.94,In Progress
380,20241121,179,921,Predictive,1.4,3365.59,Completed
381,20211030,177,2540,Lubrication Service,2.3,893.59,Deferred
382,20230302,108,2083,Corrective,9.7,12901.4,Deferred
383,20201004,105,724,Corrective,18.6,5119.76,Deferred
384,20230821,219,473,Corrective,4.5,60803.7,Completed
385,20240204,27,810,SRV Testing,1.2,2074.08,Completed
386,20240813,121,2392,Predictive,0.8,1490.56,Completed
387,20190414,192,2909,Corrective,3.5,35485.57,Completed
388,20200712,124,205,Thickness Measurement,3.1,1510.14,Completed
389,20220310,248,1676,Vibration Analysis,0.6,832.1,Completed
390,20190109,7,430,Preventive,1.0,4757.12,Completed
391,20210528,292,1749,Corrective,20.9,30807.01,Completed
392,20211214,14,1381,Corrective,2.6,48467.16,Deferred
393,20221206,28,1211,Predictive,3.2,2116.08,In Progress
394,20221031,234,2883,Calibration,1.4,349.44,Completed
395,20210519,52,313,Electrical Inspection,3.1,1288.01,Cancelled
396,20221021,180,1317,Predictive,2.2,2697.57,Completed
397,20190923,193,893,SRV Testing,2.7,2211.76,In Progress
398,20200106,58,1105,Predictive,3.9,3657.69,Cancelled
399,20190924,225,264,Lubrication Service,2.7,292.57,Completed
400,20230426,250,267,SRV Testing,1.7,2729.64,Deferred
401,20240203,205,611,Lubrication Service,1.1,1243.65,Completed
402,20230623,327,209,Condition-Based,0.6,3468.97,Completed
403,20190526,328,596,Vibration Analysis,1.3,948.95,Deferred
404,20201220,266,1925,Predictive,3.0,3135.84,Completed
405,20191106,135,1223,Piping Inspection,2.7,1228.63,Completed
406,20221022,97,2013,Predictive,2.9,3695.07,Completed
407,20190222,74,165,Lubrication Service,3.2,1206.99,In Progress
408,20200311,108,163,Piping Inspection,1.3,3495.97,Completed
409,20230217,116,13,Preventive,3.1,626.8,Completed
410,20200817,300,1293,Predictive,2.9,1650.9,Deferred
411,20200510,68,2158,Condition-Based,1.3,1700.27,Completed
412,20190615,324,2406,SRV Testing,3.0,1959.82,Completed
413,20210721,112,601,Thickness Measurement,0.6,567.77,Completed
414,20230718,27,28,Vibration Analysis,2.1,1617.94,Completed
415,20200417,217,2534,Condition-Based,1.5,3752.48,Deferred
416,20220622,132,727,Vibration Analysis,2.4,673.09,Deferred
417,20240421,10,2468,Preventive,1.0,5001.78,Deferred
418,20200606,278,2140,Piping Inspection,1.8,3898.3,Completed
419,20220318,104,732,Thickness Measurement,2.2,682.58,Deferred
420,20210127,216,288,Preventive,3.0,6756.13,Completed
421,20210413,126,2800,Electrical Inspection,1.2,3729.85,Completed
422,20200710,247,212,Preventive,3.5,767.81,Completed
423,20191107,43,41,Vibration Analysis,3.9,1811.3,Completed
424,20240324,189,2809,SRV Testing,1.9,2165.2,Completed
425,20230215,208,1014,Lubrication Service,3.0,494.89,Cancelled
426,20210224,209,1940,Lubrication Service,0.8,998.91,Completed
427,20200419,157,2390,Electrical Inspection,1.3,3842.86,Completed
428,20220404,51,2457,Corrective,3.3,45416.23,In Progress
429,20240923,265,1322,Thickness Measurement,2.0,1240.23,Deferred
430,20200723,139,1865,SRV Testing,3.6,2997.67,Deferred
431,20220929,152,2999,Predictive,3.3,2241.08,Cancelled
432,20210123,74,1361,Electrical Inspection,2.1,1024.35,In Progress
433,20240531,113,76,Piping Inspection,3.5,4376.68,Deferred
434,20230519,329,759,Corrective,2.9,71745.02,Cancelled
435,20200912,158,2878,Predictive,2.7,1354.36,Completed
436,20241010,42,1727,Preventive,0.5,1636.84,Completed
437,20200907,148,2820,Lubrication Service,3.9,788.01,In Progress
438,20220608,328,254,Corrective,14.6,10448.03,Cancelled
439,20221010,207,1030,SRV Testing,0.8,1899.6,Completed
440,20220310,145,1976,Thickness Measurement,3.4,2482.49,Completed
441,20190622,169,2237,Corrective,2.1,25093.22,Cancelled
442,20230108,15,2780,Calibration,2.5,1671.61,Completed
443,20200705,37,1346,Thickness Measurement,0.9,2408.92,Deferred
444,20201001,23,848,Corrective,15.9,55929.24,Completed
445,20221001,104,1974,Vibration Analysis,2.4,1371.87,Completed
446,20240401,93,1045,Condition-Based,3.8,4497.84,Completed
447,20230817,81,832,Thickness Measurement,2.2,2443.43,Cancelled
