FinanceID,DateKey,ProductID,Revenue,OPEX,CAPEX,MaintenanceCost,Profit
33,20240210,1,1529244.48,363491.75,171047.75,80910.96,913794.02
34,20230707,6,5042286.77,1507820.63,664606.7,269730.17,2600129.27
35,20211017,7,5251605.39,1763299.18,292212.71,339063.9,2857029.6
36,20230919,5,9457283.34,2591364.1,547694.45,618153.22,5700071.57
37,20210407,4,1837637.12,709334.36,146005.24,160933.94,821363.58
38,20200425,2,644016.62,246325.29,63511.89,45032.89,289146.55
39,20191103,4,775281.59,201382.89,43178.71,59801.88,470918.11
40,20221020,6,1739153.99,460847.45,257995.11,140111.18,880200.25
41,20201018,6,1707750.21,487025.17,116354.95,104782.02,999588.07
42,20200516,5,851752.63,285025.89,80266.24,82085.52,404374.98
43,20210626,6,538035.21,179944.03,35312.7,23501.83,299276.65
44,20241008,2,735153.52,159867.15,41538.89,52357.25,481390.23
45,20230914,6,281379.03,97937.45,20520.25,16609.58,146311.75
46,20201114,6,6943631.71,1697695.7,898858.86,646971.57,3700105.58
47,20191117,1,13437675.97,3060019.4,1708793.09,1334021.28,7334842.2
48,20220615,6,4526969.98,1244802.46,268440.95,246024.64,2767701.93
49,20210720,6,3651722.31,1070007.55,193535.33,115593.34,2272586.09
50,20200529,5,4391780.1,1123531.97,318149.81,375334.7,2574763.62
51,20190716,4,1755306.59,630378.57,149906.43,106496.86,868524.73
52,20210221,2,6138320.45,1636447.28,529584.64,576365.22,3395923.31
53,20240203,7,4627356.97,1090964.67,550467.39,393703.24,2592221.67
54,20200409,5,2379894.53,594003.73,127781.95,230288.76,1427820.09
55,20231023,4,2939343.91,698006.66,203056.3,186171.74,1852109.21
56,20200521,6,2748919.48,592473.98,376242.83,133007.54,1647195.13
57,20240818,1,2219687.82,573826.03,170770.89,123150.1,1351940.8
58,20190621,3,590433.45,130142.03,70075.7,38700.19,351515.53
59,20200429,4,2456638.76,729058.82,210257.61,94029.97,1423292.36
60,20210705,3,2593049.38,671321.58,172982.35,221625.9,1527119.55
61,20230620,2,2719345.68,637676.86,142151.08,113595.96,1825921.78
62,20190619,4,1128168.14,294624.23,159557.5,91425.56,582560.85
63,20230626,6,5640541.66,1420538.97,595249.28,522704.27,3102049.14
64,20211104,5,2335000.51,602054.44,165246.05,177200.31,1390499.71
65,20221220,1,7806718.47,2699568.38,614660.23,582414.88,3910074.98
66,20240919,1,18413341.24,5850767.31,939038.81,1454478.25,10169056.87
67,20190731,2,5985541.01,2322848.57,461134.81,310303.85,2891253.78
68,20220428,6,1934754.91,553018.42,238635.59,72739.24,1070361.66
69,20220712,1,814689.59,216796.52,113947.47,75095.14,408850.46
70,20230114,2,696962.79,164675.79,43126.21,48838.01,440322.78
71,20190806,5,6248161.03,2373273.91,811056.45,280557.63,2783273.04
72,20200605,4,4367504.17,1313681.57,617474.49,324031.7,2112316.41
73,20220727,4,2779340.65,916529.76,168289.64,201181.66,1493339.59
74,20240301,6,643447.32,135372.83,87974.47,45249.79,374850.23
75,20230604,6,1455050.08,496852.52,189854.6,93753.08,674589.88
76,20240825,5,3944460.19,1027650.73,434407.85,293383.5,2189018.11
77,20211105,1,1598638.26,361200.47,148575.23,157582.64,931279.92
78,20220821,2,1873666.45,431784.2,196325.17,88197.95,1157359.13
79,20230623,4,9391362.25,2203168.29,1314465.41,757919.53,5115809.02
80,20200627,3,1356349.08,281787.61,163600.34,46754.05,864207.08
81,20210930,3,16575256.01,5507432.29,2309726.25,938424.86,7819672.61
82,20200509,4,7676131.75,2677271.55,857072.2,548748.2,3593039.8
83,20221214,5,7116722.49,2080864.05,728610.95,445886.5,3861360.99
84,20191208,2,9022869.88,2118035.55,1260916.95,293248.88,5350668.5
85,20241025,2,1577187.49,421760.66,122805.49,121903.08,910718.26
86,20220429,5,1569087.94,485009.42,162746.73,122668.51,798663.28
87,20190505,2,1320375.33,435698.24,128314.13,63672.74,692690.22
88,20231201,4,12353773.9,3499610.4,1287578.2,651274.76,6915310.54
89,20240923,5,9784547.43,2754117.45,1281923.88,381664.08,5366842.02
90,20211030,1,2515161.34,620951.63,183880.77,122662.33,1587666.61
91,20230429,5,3850004.43,1111765.36,403321.24,216602.76,2118315.07
92,20200523,3,3077983.47,930925.31,308839.25,223481.03,1614737.88
93,20240406,2,903745.83,239716.0,49444.4,73655.32,540930.11
94,20240319,6,4163107.08,916259.02,522057.64,280690.85,2444099.57
95,20200222,1,2699660.6,829225.98,308075.4,105583.66,1456775.56
96,20210710,5,607836.87,171497.38,89063.59,28586.64,318689.26
97,20210216,2,2256429.51,817786.7,276515.46,219345.95,942781.4
98,20230120,3,2347154.37,585270.94,126693.71,178955.53,1456234.19
99,20220314,2,3746173.65,1185396.29,272908.39,185213.79,2102655.18
100,20200310,5,638287.52,171035.54,71750.66,32615.28,362886.04
101,20220821,6,1261043.0,356099.29,144945.05,98348.49,661650.17
102,20210711,7,1750729.42,636974.57,117270.56,134918.64,861565.65
103,20191019,4,5423899.32,1903807.53,560397.27,226699.57,2732994.95
104,20210810,1,972386.93,227191.36,103557.15,61495.42,580143.0
105,20190623,6,1719178.76,442757.46,139908.03,91275.43,1045237.84
106,20220427,4,3026819.43,1074698.6,237791.17,105834.57,1608495.09
107,20200825,7,2740661.54,1049074.11,387477.42,175860.88,1128249.13
108,20241214,3,13757718.25,3501441.61,1130915.17,634919.59,8490441.88
109,20240818,6,2486049.25,815058.06,167981.8,107778.3,1395231.09
110,20191206,3,2336534.17,598782.29,294527.04,94035.98,1349188.86
111,20200904,5,2901162.06,866839.86,368334.21,113557.11,1552430.88
112,20241217,6,22245794.78,7333786.77,2916758.29,2045404.92,9949844.8
113,20240116,2,3930399.72,1350093.11,447999.1,370795.41,1761512.1
114,20210320,4,6508451.72,2412362.52,800755.04,464211.15,2831123.01
115,20220309,1,3370446.29,847353.68,269349.11,123483.21,2130260.29
116,20230328,3,1480719.42,516416.73,83637.21,55263.79,825401.69
117,20230930,1,2136697.07,443777.01,132114.26,203847.97,1356957.83
118,20220221,6,10000634.88,2914203.31,1060276.38,709411.64,5316743.55
119,20220925,1,635053.57,236821.58,82537.58,53518.04,262176.37
120,20201206,2,2289346.75,663071.96,197515.53,219325.34,1209433.92
121,20221102,7,1725015.05,522484.08,161812.95,72725.74,967992.28
122,20210314,6,2385619.06,641257.25,144317.52,108754.78,1491289.51
123,20231206,7,245258.69,65746.9,28535.73,21332.48,129643.58
124,20191231,1,1187933.73,465535.48,93160.92,64438.44,564798.89
125,20230618,5,11825280.63,4323903.1,907778.74,379414.49,6214184.3
126,20220430,7,7758244.05,2311877.04,1147112.09,397404.84,3901850.08
127,20220914,1,10818421.89,2488774.68,874498.13,610545.76,6844603.32
128,20220710,3,1185177.1,252171.26,66743.57,99999.74,766262.53
129,20231109,7,4299210.15,1307162.87,611620.89,296611.49,2083814.9
130,20191117,7,461917.67,169811.84,40215.77,27929.65,223960.41
131,20240115,2,7030790.4,2597517.37,661072.53,283450.23,3488750.27
132,20221213,1,377468.1,90365.29,36224.78,25905.36,224972.67
133,20220930,3,3264054.11,828855.06,227995.95,286468.41,1920734.69
134,20220704,3,330318.16,104455.75,27449.38,11817.18,186595.85
135,20200224,1,1217783.04,249670.76,86329.11,90016.97,791766.2
136,20231225,7,1259914.35,368310.18,75302.13,40724.75,775577.29
137,20230714,2,2142972.6,794073.48,215034.46,206121.06,927743.6
138,20240815,6,1318046.67,516982.73,80321.67,75237.76,645504.51
139,20190320,7,429737.3,97639.44,39255.45,20812.25,272030.16
140,20241201,6,14883701.11,5884238.63,2068387.92,969055.61,5962018.95
141,20230319,6,3986922.51,1285521.03,240369.57,192048.36,2268983.55
142,20230108,4,2461058.44,598892.29,352896.33,219153.69,1290116.13
143,20190928,1,2455494.46,569929.14,366642.39,222234.08,1296688.85
144,20230830,2,1934273.3,585276.19,284788.54,76373.76,987834.81
145,20210405,1,10662368.6,3439329.55,901638.03,916472.18,5404928.84
146,20220911,6,850285.47,307350.75,109581.43,70907.95,362445.34
147,20190418,2,5252236.22,1287086.2,350031.1,362856.54,3252262.38
148,20230712,4,3006603.67,688505.93,259593.94,200835.27,1857668.53
149,20220115,5,4736545.92,968143.26,517198.89,313235.11,2937968.66
150,20210802,3,1159793.46,367264.39,158446.68,77830.76,556251.63
151,20191106,1,6066556.0,2078366.05,354396.27,357091.69,3276701.99
152,20220320,3,600752.84,127419.53,59149.35,53747.77,360436.19
153,20220520,7,8010825.46,2782279.84,895947.8,708283.01,3624314.81
154,20210214,3,4950781.35,1586901.12,699767.49,259545.5,2404567.24
155,20190712,3,4478616.72,1216831.59,448176.52,361329.5,2452279.11
156,20190206,5,719233.54,149884.69,74123.07,46514.88,448710.9
157,20220404,1,2207976.25,497927.47,123962.16,177266.72,1408819.9
158,20241006,2,9970881.9,2280270.9,1283864.33,455515.18,5951231.49
159,20231028,1,1023150.39,398975.18,141986.62,83442.12,398746.47
160,20220607,1,633261.47,244654.63,84634.0,30663.12,273309.72
161,20230405,4,3882941.18,1233992.76,216021.95,263204.83,2169721.64
162,20200501,6,33417114.79,10710879.36,2839408.43,1684573.83,18182253.17
163,20201230,1,457801.6,115201.11,38947.8,44846.51,258806.18
164,20190115,2,2557008.43,661332.25,201857.23,199914.91,1493904.04
165,20240925,5,3125554.28,639560.35,247764.04,183959.91,2054269.98
166,20240610,6,6174085.09,1520858.55,324489.82,222877.54,4105859.18
167,20190309,5,3077939.18,812580.38,444598.93,186247.42,1634512.45
168,20241022,2,3399620.21,1011687.53,208585.03,249084.19,1930263.46
169,20201106,4,17807163.42,4603993.75,2018035.19,1019982.09,10165152.39
170,20211123,3,4157190.67,1020854.64,426674.66,368001.75,2341659.62
171,20230912,2,4040515.51,1492560.09,468172.63,235242.74,1844540.05
172,20240627,1,3985811.37,1294401.89,437915.97,318869.88,1934623.63
173,20210317,6,1507927.48,546399.58,147193.58,65389.57,748944.75
174,20210417,5,12324199.3,4423179.64,1398940.88,969912.28,5532166.5
175,20220626,2,1865225.22,600848.5,178052.62,113731.9,972592.2
176,20220914,4,521575.73,182879.5,38767.84,16275.37,283653.02
177,20211022,7,1933937.96,605558.35,206370.7,151286.27,970722.64
178,20191127,7,6845443.6,2240775.83,360553.31,681854.77,3562259.69
179,20220208,7,9304361.39,3298860.72,715147.43,406037.9,4884315.34
180,20220429,2,1185090.09,366690.43,151987.1,102686.93,563725.63
181,20221115,5,5818595.62,1897995.03,749692.69,188608.99,2982298.91
182,20210603,5,3041663.32,1043594.85,217347.72,230567.76,1550152.99
183,20210924,5,5519797.25,1434883.47,815844.68,175463.67,3093605.43
184,20240622,5,5301363.07,1313702.79,756059.5,207380.69,3024220.09
185,20210908,7,23977659.86,7966136.67,2291697.75,826143.42,12893682.02
186,20230923,1,11951050.77,3241147.26,1243796.8,532237.1,6933869.61
187,20241002,2,4621286.83,1070481.12,460313.65,183930.53,2906561.53
188,20191118,4,1648623.28,364364.26,237538.63,118328.16,928392.23
189,20190105,6,3380124.59,1200274.44,183533.32,134533.1,1861783.73
190,20200118,5,2100738.52,715389.72,204763.99,109813.47,1070771.34
191,20220427,6,1107760.83,223322.4,110657.74,39234.21,734546.48
192,20240109,3,570561.16,177730.96,40542.72,35619.6,316667.88
193,20200827,6,408086.45,149743.62,55393.38,17202.1,185747.35
194,20210803,3,7861571.72,2659363.53,616787.16,291181.48,4294239.55
195,20230916,4,10547210.47,3080291.41,649826.54,838291.63,5978800.89
196,20200207,5,18436243.53,4052261.07,1969155.32,661964.72,11752862.42
197,20240208,4,8995259.03,3231674.28,826810.2,794291.81,4142482.74
198,20200224,5,3168568.64,637014.69,277324.81,200203.9,2054025.24
199,20190926,7,2039217.84,429464.93,150149.35,146563.14,1313040.42
200,20190809,3,2268964.66,897812.65,148569.47,185356.75,1037225.79
201,20190912,1,3181350.33,924033.14,279540.5,157780.72,1819995.97
202,20201002,6,4580553.65,954522.91,345835.08,322917.51,2957278.15
203,20200330,2,3490100.16,1076282.56,441635.84,130459.34,1841722.42
204,20230527,6,1320435.57,464773.87,74059.67,79788.0,701814.03
205,20231002,4,4498281.03,1083728.27,330197.14,235859.67,2848495.95
206,20240117,6,273612.54,85316.82,36419.41,14887.74,136988.57
207,20200124,7,3496841.95,823363.65,517721.0,296649.56,1859107.74
208,20240408,4,1362474.15,282365.43,106572.1,103448.26,870088.36
209,20221022,5,874742.33,303286.14,110168.44,48951.37,412336.38
210,20231115,5,4288903.57,1128453.59,337835.2,209605.21,2613009.57
211,20231113,4,558881.22,170961.43,46778.1,42266.71,298874.98
212,20241205,2,687743.56,152903.6,44096.39,54308.97,436434.6
213,20241106,7,547939.26,208783.24,27721.04,46297.56,265137.42
214,20220713,2,10837689.48,4220893.87,1101286.29,374780.9,5140728.42
215,20221207,1,381132.38,120692.2,52027.78,35049.97,173362.43
216,20230510,7,965305.54,304084.13,80455.77,60703.47,520062.17
217,20200113,7,742154.38,179927.22,94109.37,54725.77,413392.02
218,20230711,5,5828782.63,2103941.38,688774.16,320606.84,2715460.25
219,20190129,1,5761257.97,1976223.81,637331.54,206942.81,2940759.81
220,20201026,3,5766889.17,1729631.24,341467.01,323352.02,3372438.9
221,20200430,3,7380391.79,2084772.44,644142.47,447777.26,4203699.62
222,20230629,1,3759385.34,1230701.75,428856.42,192754.78,1907072.39
223,20221228,4,661075.49,251941.73,70273.16,36244.62,302615.98
224,20231125,6,945480.27,229141.48,51743.89,59123.95,605470.95
225,20230514,2,2510684.01,649098.86,318895.21,249682.29,1293007.65
226,20220519,1,8535173.12,1731524.81,445273.17,417393.6,5940981.54
227,20200820,1,1082388.08,239367.71,69819.26,68428.2,704772.91
228,20210408,2,2414280.45,577000.02,252817.07,191095.61,1393367.75
229,20210427,1,26993311.59,10303578.76,3436878.68,1816355.86,11436498.29
230,20211212,2,7906520.58,1616547.98,522926.46,354275.77,5412770.37
231,20210710,7,2153253.51,527505.09,294613.41,181400.47,1149734.54
232,20190719,4,2638509.71,831672.81,307975.89,195550.71,1303310.3
233,20221212,4,10225430.85,3707271.5,1402307.65,976611.51,4139240.19
234,20221020,5,4120677.0,1466158.73,223404.14,185002.66,2246111.47
235,20210421,2,1043414.06,337258.82,102126.16,47644.78,556384.3
236,20210531,5,3076728.2,779919.8,386767.12,157192.42,1752848.86
237,20221117,3,4332332.3,1725210.95,512177.46,140920.54,1954023.35
238,20201205,7,2742428.1,811853.03,158022.23,91546.65,1681006.19
239,20221209,1,1706806.73,348584.21,97052.74,147946.36,1113223.42
240,20200929,2,2258543.15,634407.4,178619.6,200576.58,1244939.57
241,20210319,6,5112355.35,1393635.68,381785.79,204318.97,3132614.91
242,20200101,6,990382.91,325819.42,141474.13,49463.72,473625.64
243,20230315,3,2094188.77,558520.73,207292.12,113610.06,1214765.86
244,20200102,2,16390043.28,4029983.27,861367.26,1447193.55,10051499.2
245,20241116,4,1426532.46,341753.49,186697.91,60309.5,837771.56
246,20210215,6,913557.98,187885.85,115512.3,62371.53,547788.3
247,20201015,3,2311622.96,697443.62,133519.65,118654.43,1362005.26
248,20201206,4,852522.21,174863.28,50511.16,30668.28,596479.49
249,20231031,4,249296.37,88197.29,15975.64,20720.3,124403.14
250,20220925,7,804603.81,211001.06,111121.31,48566.67,433914.77
251,20231021,3,2332119.49,499363.71,146839.87,219983.81,1465932.1
252,20200323,6,3442564.82,963060.72,172682.74,203546.24,2103275.12
253,20190128,5,4194448.83,1174075.63,506546.31,354526.43,2159300.46
254,20210701,4,1062090.82,386560.57,156948.59,93776.81,424804.85
255,20191114,5,925284.52,204237.41,79948.94,30335.21,610762.96
256,20190125,5,645571.08,144384.37,81942.78,39949.89,379294.04
257,20220207,6,4424905.81,1126229.97,645834.99,310278.15,2342562.7
258,20190407,1,2247973.8,610909.86,274584.21,191223.28,1171256.45
259,20210529,2,1153887.63,368379.71,131924.54,45329.61,608253.77
260,20210418,7,10183433.59,2133335.37,1169978.06,357527.59,6522592.57
261,20201213,1,5237790.34,1778068.0,330710.71,210595.85,2918415.78
262,20220728,1,12451300.59,3239894.53,1389982.8,501927.14,7319496.12
263,20240312,7,11702253.54,3699034.94,1325127.1,491010.35,6187081.15
264,20201030,7,413053.22,123976.72,26138.76,12613.83,250323.91
265,20190422,3,250876.49,70178.96,23063.46,22946.45,134687.62
266,20230604,6,3711853.54,929576.63,485709.79,221978.23,2074588.89
267,20220512,7,40740046.61,8787724.01,2145731.53,2365078.99,27441512.08
268,20240514,1,6129144.27,1986959.55,448275.73,456210.2,3237698.79
269,20210907,3,320183.11,88643.06,40933.63,25550.65,165055.77
270,20220410,4,11271677.0,3941628.57,826638.82,853671.08,5649738.53
271,20190517,6,811903.76,302718.86,101089.39,51647.32,356448.19
272,20210118,5,5419462.57,1585662.89,297801.59,398523.79,3137474.3
273,20231224,1,953439.35,372926.27,103506.28,40368.74,436638.06
274,20220805,7,938552.14,323974.95,91637.34,61082.48,461857.37
275,20200817,7,7968573.08,2406484.68,720342.98,509532.22,4332213.2
276,20230214,7,9303546.9,3392627.89,728516.06,783213.71,4399189.24
277,20241215,2,2280262.11,702949.12,168556.28,142849.7,1265907.01
278,20220616,2,13370607.28,3550254.25,776687.14,1101744.02,7941921.87
279,20231023,3,2299177.76,853487.91,344570.24,94734.18,1006385.43
280,20190327,2,1713880.14,525353.7,177265.55,92015.65,919245.24
281,20190424,3,3493855.02,786813.31,203028.34,322104.82,2181908.55
282,20230325,7,15314197.53,3374826.81,1422955.57,1057099.0,9459316.15
283,20220809,3,8848194.27,2886493.64,596330.65,273064.05,5092305.93
284,20240103,7,2657847.14,888643.87,352932.27,191316.92,1224954.08
285,20190102,3,13346812.18,4377537.04,1698434.29,1061494.63,6209346.22
286,20220616,5,2564351.08,695829.66,308507.45,150181.53,1409832.44
287,20240410,2,1269970.12,411364.42,140437.63,117279.88,600888.19
288,20210909,6,3415261.09,1129793.05,181328.43,315729.91,1788409.7
289,20240421,5,1889872.61,650381.68,153348.35,91411.62,994730.96
290,20240707,5,2676900.32,577329.81,157195.21,252772.65,1689602.65
291,20200525,7,6974760.94,2159218.57,426103.72,360039.77,4029398.88
292,20231015,2,5148677.78,1677774.94,573122.64,455875.63,2441904.57
293,20221127,6,934453.39,192660.45,71619.29,63346.82,606826.83
294,20200129,7,1686246.38,624775.97,155091.72,118793.13,787585.56
295,20240414,3,3657398.64,1387928.19,446557.19,118679.41,1704233.85
296,20190105,2,4968387.51,1343794.91,554108.0,268106.24,2802378.36
297,20231029,7,475162.16,158204.37,41105.93,26000.95,249850.91
298,20210907,4,870622.65,248162.45,59559.08,76319.6,486581.52
299,20211004,2,2960891.29,956025.12,259843.72,153112.4,1591910.05
300,20201107,4,13925413.39,3547460.75,1898827.46,985535.77,7493589.41
301,20210307,1,980346.9,222189.66,84956.19,61805.33,611395.72
302,20241015,4,4848704.25,1931334.36,305707.93,337519.82,2274142.14
303,20190314,7,1878610.43,406893.44,277062.61,148363.14,1046291.24
304,20201102,2,4893670.71,1873426.36,645775.02,436537.25,1937932.08
305,20231221,2,2004991.72,775455.89,135042.87,156933.91,937559.05
306,20220114,5,16515130.69,4285180.4,1579139.13,1219768.37,9431042.79
307,20211228,5,11207442.26,2969193.57,1008596.1,366679.13,6862973.46
308,20190628,1,1909583.99,439184.16,170046.75,166176.08,1134177.0
309,20240309,2,5797339.43,1184433.77,776124.78,189690.45,3647090.43
310,20211211,5,1487683.92,493178.75,135105.29,94098.6,765301.28
311,20190711,1,6034565.53,1422929.53,346820.64,290232.49,3974582.87
312,20201021,6,5753223.0,1533268.01,550207.02,281698.56,3388049.41
313,20221217,6,461449.41,118683.89,34069.65,24432.69,284263.18
314,20240117,3,2222389.64,610095.45,179705.69,154067.83,1278520.67
315,20190426,2,1342215.7,366043.21,151546.53,78649.3,745976.66
316,20231103,2,13890598.62,3082083.07,1377020.66,696673.06,8734821.83
317,20221003,1,1722684.63,574862.59,235168.11,133359.2,779294.73
318,20191105,3,1403602.35,506988.24,167423.25,51872.32,677318.54
319,20210727,5,2808480.33,733133.41,414272.48,212231.27,1448843.17
320,20230701,2,3125215.31,1202820.62,178073.43,149005.02,1595316.24
321,20210803,1,1813066.83,642196.06,259887.52,87888.96,823094.29
322,20191012,6,1519869.66,535370.21,113831.0,66622.98,804045.47
323,20240811,4,2178385.35,551633.2,243906.49,173150.84,1209694.82
324,20230127,2,3956928.73,1211071.48,453184.19,209913.25,2082759.81
325,20211125,1,1145126.38,266885.67,131112.28,94999.54,652128.89
326,20200815,2,1193074.58,355255.82,176400.19,117601.06,543817.51
327,20240811,1,2240451.62,505869.08,316502.97,118083.1,1299996.47
328,20240730,2,13209874.53,4034111.01,1014605.45,590970.45,7570187.62
329,20240823,1,1454872.27,413055.43,106176.71,115797.49,819842.64
330,20230310,2,3748779.92,856360.84,260149.68,318616.51,2313652.89
331,20200608,6,7618752.8,2857620.66,391595.03,477139.73,3892397.38
332,20221025,7,4160360.68,1320428.57,483343.43,230456.01,2126132.67
333,20220909,4,4898871.96,1059944.71,255965.93,376963.63,3205997.69
334,20240623,6,1650711.89,644154.46,227371.15,163104.55,616081.73
335,20220501,2,1622518.77,496667.11,221671.09,102838.35,801342.22
336,20220212,3,842399.4,245836.95,48213.63,41141.73,507207.09
337,20190522,7,1019964.49,221608.41,118666.53,97423.95,582265.6
338,20241018,6,10609856.88,3192152.63,1118853.3,351229.4,5947621.55
339,20200317,7,1618925.58,402275.45,181752.43,115087.1,919810.6
340,20241013,3,229612.25,85107.38,27879.56,10475.32,106149.99
341,20201211,5,1947541.85,708114.16,164823.29,63241.1,1011363.3
342,20200415,4,26544626.51,7631128.93,1600441.06,828630.49,16484426.03
343,20210428,7,2304322.67,567969.0,202650.5,107794.5,1425908.67
344,20220223,5,5433864.38,1867360.38,452531.16,504984.82,2608988.02
345,20240726,3,2015969.62,478122.55,281440.49,84502.46,1171904.12
346,20210418,2,2327661.88,616339.65,242208.19,116127.59,1352986.45
347,20220110,1,1879308.28,620101.26,208342.83,91284.16,959580.03
348,20210802,7,908305.7,273132.73,77132.07,60505.2,497535.7
349,20240410,1,5349705.82,1499644.65,776048.3,227352.96,2846659.91
350,20190805,1,23142879.0,4821251.43,1696813.98,888308.75,15736504.84
351,20200705,1,4073238.68,1179665.31,274338.67,167812.57,2451422.13
352,20220103,4,3611404.93,1209062.32,536745.74,154627.21,1710969.66
353,20200906,4,4992404.62,1156295.86,464122.46,213442.45,3158543.85
354,20240927,5,4718890.66,1240662.96,574661.99,325520.93,2578044.78
355,20221023,7,14411128.1,3369175.95,1074729.31,764013.16,9203209.68
356,20200115,6,3259966.4,1264408.15,196598.98,264900.91,1534058.36
357,20200518,2,1415040.53,376376.2,167069.11,66294.14,805301.08
358,20210122,7,1837909.16,633674.67,111428.63,123977.84,968828.02
359,20240412,2,4355721.72,1153764.72,222103.03,408613.43,2571240.54
360,20220801,3,8864526.97,2059286.82,1049832.88,801046.64,4954360.63
361,20200423,5,2136462.7,761687.86,283862.58,204932.86,885979.4
362,20230102,6,3626563.38,1160889.64,502194.65,296417.22,1667061.87
363,20190906,2,1241035.14,393048.1,85186.36,103326.52,659474.16
364,20211123,6,2144157.73,824798.35,126481.07,68234.04,1124644.27
365,20240610,5,11591430.66,3227170.45,1165349.03,571099.2,6627811.98
366,20220428,2,1861844.53,523163.23,221637.39,66007.06,1051036.85
367,20220111,7,21106636.97,4503408.11,3007384.28,1555757.94,12040086.64
368,20230725,6,26014038.55,8061043.57,2877214.71,1260325.63,13815454.64
369,20190502,2,3123872.49,627629.22,381431.53,311878.07,1802933.67
370,20200415,7,925433.14,326597.96,95379.97,48162.32,455292.89
371,20190930,6,8664945.54,1856972.03,1204770.63,555100.48,5048102.4
372,20220302,2,688056.32,229789.62,60084.34,60940.13,337242.23
373,20200317,4,1245565.16,284529.07,173817.05,71696.25,715522.79
374,20200709,7,5125122.96,2011452.81,767049.89,237263.24,2109357.02
375,20190325,7,10057040.43,2963773.45,1324533.51,646887.66,5121845.81
376,20200307,5,7087817.57,2383114.84,407692.27,699403.91,3597606.55
377,20190101,5,1923334.48,756687.36,215155.43,130354.05,821137.64
378,20240425,4,3706912.57,808744.39,437663.43,269530.72,2190974.03
379,20200517,3,1086133.71,236094.12,116986.95,66841.3,666211.34
380,20210513,6,2791253.65,578351.2,178148.76,186800.27,1847953.42
381,20220212,3,6119304.48,1794163.1,660374.17,254782.61,3409984.6
382,20230302,5,20755495.54,5720116.31,1447083.42,743190.57,12845105.24
383,20220901,5,11386726.36,4139977.71,1417450.06,379943.28,5449355.31
384,20191015,5,922272.42,227549.22,105079.28,70213.22,519430.7
385,20190201,6,2512809.79,780950.14,350659.75,82821.93,1298377.97
386,20190127,2,805471.3,272400.79,93855.94,49694.83,389519.74
387,20200726,4,25295033.05,6024009.03,3445744.6,1505356.28,14319923.14
388,20190712,4,13072374.77,3487582.42,720210.15,530027.94,8334554.26
389,20210824,5,3178381.53,1078001.98,434700.58,274337.34,1391341.63
390,20190817,5,3148364.69,1133602.24,254485.78,202536.98,1557739.69
391,20201018,3,10301298.98,3583520.03,998130.98,943204.16,4776443.81
392,20210107,7,2843926.55,816946.95,290788.14,251208.54,1484982.92
393,20191229,3,3502975.0,1089559.57,313440.35,349015.83,1750959.25
394,20240622,3,1334176.96,387938.48,196766.84,71009.47,678462.17
395,20241231,1,4802489.58,1559710.22,508949.6,325504.89,2408324.87
396,20240611,3,10352724.15,3494721.07,1420339.24,664215.45,4773448.39
